player_id,name,pos,sub_apps,sub_min,sub_goals,sub_assists,sub_ga,sub_ga90,gate_ga90,sub_gd,sub_gd90,gate_gd,entry_avg,entries_leading,entries_level,entries_trailing
bertrand-traore,Bertrand Traoré,FW,7,215,4,1,5,2.09,1,4,,0,66.3,1,4,2
pierre-landry-kabore,Pierre Landry Kaboré,FW,6,117,3,0,3,,0,2,,0,75.8,3,1,2
hassane-bande,Hassane Bandé,FW,9,222,1,0,1,0.41,1,2,0.81,1,75.6,2,4,3
cedric-badolo,Cedric Badolo,MF,9,266,0,1,1,0.34,1,0,0.0,1,66.6,4,1,4
abdoul-tapsoba,Abdoul Tapsoba,FW,8,188,1,0,1,0.48,1,0,0.0,1,77.6,2,3,3
ousseni-bouda,Ousseni Bouda,FW,8,195,1,0,1,0.46,1,-2,-0.92,1,71.5,1,3,4
georgi-minoungou,Georgi Minoungou,FW,7,229,1,0,1,0.39,1,4,,0,63.7,2,3,2
stephane-aziz-ki,Stephane Aziz Ki,MF,6,95,1,0,1,,0,2,,0,81.3,2,3,1
dango-ouattara,Dango Ouattara,FW,4,117,0,1,1,,0,2,,0,69.0,2,1,1
yves-koutiama,Yves Koutiama,FW,3,125,0,1,1,,0,0,,0,60.7,1,0,2
mohamed-konate,Mohamed Konaté,FW,12,220,0,0,0,0.0,1,-4,-1.64,1,81.2,8,2,2
saidou-simpore,Saïdou Simporé,DF,9,236,0,0,0,0.0,1,0,0.0,1,72.9,4,1,4
zakaria-sanogo,Zakaria Sanogo,FW,5,148,0,0,0,,0,-3,,0,72.4,2,2,1
ismahila-ouedraogo,Ismahila Ouédraogo,MF,5,136,0,0,0,,0,1,,0,74.8,2,3,0
adamo-nagalo,Adamo Nagalo,DF,4,123,0,0,0,,0,4,,0,66.2,3,0,1
dramane-salou,Dramane Salou,MF,4,52,0,0,0,,0,-1,,0,85.5,4,0,0
blati-toure,Blati Touré,MF,4,102,0,0,0,,0,0,,0,69.5,1,2,1
lassina-traore,Lassina Traoré,FW,4,113,0,0,0,,0,3,,0,71.0,1,1,2
ousmane-camara,Ousmane Camara,FW,4,139,0,0,0,,0,0,,0,62.5,2,1,1
josue-tiendrebeogo,Josué Tiendrébéogo,MF,4,109,0,0,0,,0,1,,0,67.5,1,3,0
djibril-ouattara,Djibril Ouattara,FW,3,75,0,0,0,,0,0,,0,75.7,0,1,2
steeve-yago,Steeve Yago,DF,3,79,0,0,0,,0,1,,0,71.3,1,0,2
trova-boni,Trova Boni,DF,3,27,0,0,0,,0,-1,,0,88.3,2,1,0
mamady-bangre,Mamady Bangré,FW,2,57,0,0,0,,0,-1,,0,68.5,0,2,0
cyrille-bayala,Cyrille Bayala,FW,2,88,0,0,0,,0,-2,,0,53.0,0,2,0
gustavo-sangare,Gustavo Sangaré,MF,2,41,0,0,0,,0,1,,0,74.5,1,0,1
valentin-nouma,Valentin Nouma,DF,2,31,0,0,0,,0,1,,0,79.5,1,0,1
nasser-djiga,Nasser Djiga,DF,2,30,0,0,0,,0,-2,,0,84.0,2,0,0
sacha-banse,Sacha Bansé,MF,2,39,0,0,0,,0,-1,,0,83.0,0,0,2
mohamed-ouedraogo,Mohamed Ouédraogo,DF,2,38,0,0,0,,0,0,,0,74.5,1,0,1
abdoul-baguian,Abdoul Baguian,FW,2,62,0,0,0,,0,-1,,0,69.0,0,0,2
souleymane-sangare,Souleymane Sangaré,MF,2,7,0,0,0,,0,-1,,0,100.0,1,0,1
tertius-bagre,Tertius Bagré,MF,2,35,0,0,0,,0,1,,0,83.5,1,0,1
cyriaque-irie,Cyriaque Irié,FW,2,25,0,0,0,,0,2,,0,87.5,0,0,2
dramane-nikiema,Dramane Nikièma,MF,1,2,0,0,0,,0,0,,0,92.0,1,0,0
farid-ouedraogo,Farid Ouédraogo,GK,1,63,0,0,0,,0,-2,,0,36.0,0,1,0
aboubacar-sawadogo,Aboubacar Sawadogo,GK,1,30,0,0,0,,0,0,,0,98.0,0,1,0
eric-traore,Eric Traoré,FW,1,38,0,0,0,,0,-1,,0,90.0,1,0,0
hassim-traore,Hassim Traore,FW,1,10,0,0,0,,0,-1,,0,82.0,1,0,0
abdoul-kader-ouattara,Abdoul Kader Ouattara,FW,1,13,0,0,0,,0,1,,0,86.0,0,0,1
clement-pitroipa,Clement Pitroipa,MF,1,19,0,0,0,,0,0,,0,76.0,0,0,1
hamed-blakiss-ouattara,Hamed Blakiss Ouattara,FW,1,15,0,0,0,,0,0,,0,80.0,0,0,1
mohamed-ali-yabre,Mohamed Ali Yabré,DF,1,15,0,0,0,,0,-1,,0,80.0,1,0,0
jack-diarra,Jack Diarra,FW,1,10,0,0,0,,0,-1,,0,84.0,0,0,1
issouf-kabore,Issouf Kaboré,FW,1,20,0,0,0,,0,0,,0,80.0,0,0,1
patrick-malo,Patrick Malo,DF,1,51,0,0,0,,0,-1,,0,49.0,0,0,1
ousmane-siry,Ousmane Siry,MF,1,51,0,0,0,,0,2,,0,51.0,0,1,0
aliou-chitou-adjibade,Aliou Chitou Adjibadé,MF,1,16,0,0,0,,0,0,,0,89.0,0,0,1
moumoune-diallo,Moumoune Diallo,DF,1,50,0,0,0,,0,0,,0,55.0,0,0,1
damassi-konate,Damassi Konaté,FW,1,57,0,0,0,,0,-1,,0,43.0,0,1,0
papus-ouattara,Papus Ouattara,FW,1,23,0,0,0,,0,0,,0,77.0,0,0,1
abdoul-yoda,Abdoul Yoda,MF,1,47,0,0,0,,0,2,,0,48.0,1,0,0
clovis-bazemo,Clovis Bazemo,GK,1,9,0,0,0,,0,1,,0,86.0,1,0,0
