player_id,name,pos,goals,openers,equalizers,go_ahead,extenders,consolations,late_goals,goals_when_trailing,assists_when_trailing,as_sub_goals
dango-ouattara,Dango Ouattara,FW,13,4,2,1,6,0,4,2,1,0
pierre-landry-kabore,Pierre Landry Kaboré,FW,7,2,1,2,2,0,2,1,0,3
edmond-tapsoba,Edmond Tapsoba,DF,5,0,1,2,2,0,2,1,0,0
bertrand-traore,Bertrand Traoré,FW,10,3,1,1,4,1,3,2,1,4
ousseni-bouda,Ousseni Bouda,FW,2,0,2,0,0,0,1,2,0,1
lassina-traore,Lassina Traoré,FW,8,3,0,1,3,1,0,1,0,0
issoufou-dayo,Issoufou Dayo,DF,3,1,1,0,1,0,0,1,0,0
georgi-minoungou,Georgi Minoungou,FW,3,1,1,0,1,0,1,1,0,1
sacha-banse,Sacha Bansé,MF,1,0,0,1,0,0,0,0,0,0
abdoul-abass-guiro,Abdoul Abass Guiro,,1,0,0,1,0,0,0,0,0,0
souleymane-sangare,Souleymane Sangaré,MF,1,0,1,0,0,0,0,1,0,0
mohamed-konate,Mohamed Konaté,FW,5,4,0,0,1,0,0,0,0,0
moise-kabore,Moise Kaboré,FW,4,0,0,0,3,1,2,1,0,0
hassane-bande,Hassane Bandé,FW,3,2,0,0,1,0,0,0,0,1
blati-toure,Blati Touré,MF,3,2,0,0,0,1,1,1,0,0
stephane-aziz-ki,Stephane Aziz Ki,MF,3,1,0,0,2,0,1,0,0,1
clement-pitroipa,Clement Pitroipa,MF,2,1,0,0,1,0,0,0,0,0
josue-tiendrebeogo,Josué Tiendrébéogo,MF,2,1,0,0,1,0,0,0,0,0
mohamed-zougrana,Mohamed Zougrana,MF,2,1,0,0,1,0,0,0,0,0
cyriaque-irie,Cyriaque Irié,FW,2,1,0,0,1,0,0,0,0,0
gustavo-sangare,Gustavo Sangaré,MF,1,1,0,0,0,0,0,0,1,0
cyrille-bayala,Cyrille Bayala,FW,1,1,0,0,0,0,0,0,0,0
steeve-yago,Steeve Yago,DF,1,1,0,0,0,0,0,0,0,0
djibril-ouattara,Djibril Ouattara,FW,1,0,0,0,1,0,0,0,0,0
abdoul-tapsoba,Abdoul Tapsoba,FW,1,1,0,0,0,0,1,0,0,1
hanaby-hadalou-sagne,Hanaby Hadalou Sagne,DF,1,1,0,0,0,0,1,0,1,0
papus-ouattara,Papus Ouattara,FW,1,1,0,0,0,0,0,0,0,0
patrick-malo,Patrick Malo,DF,1,0,0,0,1,0,1,0,0,0
abdoul-baguian,Abdoul Baguian,FW,1,0,0,0,1,0,1,0,0,0
saidou-simpore,Saïdou Simporé,DF,1,0,0,0,1,0,1,0,0,0
arsene-kouassi,Arsène Kouassi,DF,1,0,0,0,1,0,1,0,0,0
adamo-nagalo,Adamo Nagalo,DF,1,1,0,0,0,0,1,0,0,0
issa-kabore,Issa Kaboré,DF,0,0,0,0,0,0,0,0,1,0
