coach,tenure_start,first_match,last_match,matches,w,d,l,ppg,gf_pm,ga_pm,elo_first,elo_last,elo_delta,pooled
Brama Traoré,2024-01-01,2024-01-05,2025-12-31,32,17,5,10,1.75,1.69,1.06,1671.8,1698.9,27.0,0
Hubert Velud,2022-01-01,2022-01-02,2023-11-21,24,11,7,6,1.67,1.29,1.17,1679.6,1674.5,-5.0,0
Kamou Malo,2019-01-01,2019-03-22,2021-12-30,22,10,9,3,1.77,1.23,0.55,1633.8,1669.3,36.0,0
Paulo Duarte,2015-01-01,2015-01-10,2018-11-18,46,17,14,15,1.41,1.22,1.04,1639.7,1626.0,-14.0,0
Paul Put,2012-01-01,2012-01-09,2014-11-19,40,15,10,15,1.38,1.12,1.0,1637.6,1636.4,-1.0,0
Paulo Duarte,2008-01-01,2008-05-24,2011-11-15,30,15,7,8,1.73,1.57,1.2,1426.3,1634.1,208.0,0
Ivica Todorov,2004-01-01,2004-01-17,2004-11-17,15,4,3,8,1.0,1.07,1.67,1560.5,1496.4,-64.0,0
Jean-Paul Rabier,2002-01-01,2002-01-07,2003-11-15,19,6,7,6,1.32,1.11,0.89,1504.9,1553.1,48.0,0
Oscar Fulloné,2001-01-01,2001-01-07,2001-12-28,16,4,3,9,0.94,0.94,1.31,1535.7,1512.7,-23.0,0
Sidiki Diarra,2000-01-01,2000-01-09,2000-10-07,14,4,5,5,1.21,1.21,1.36,1526.6,1532.7,6.0,0
Didier Notheaux,1998-01-01,1998-01-04,1999-12-29,35,13,12,10,1.46,1.46,1.4,1434.5,1527.7,93.0,0
Philippe Troussier,1997-01-01,1997-01-12,1997-12-27,10,2,2,6,0.8,1.3,1.8,1448.4,1424.2,-24.0,0
Ivan Vutov,1996-01-01,1996-01-15,1996-12-27,14,2,6,6,0.86,0.71,1.36,1520.1,1487.5,-33.0,0
Idrissa Traoré,1992-01-01,1992-12-26,1995-12-22,16,4,8,4,1.25,1.12,1.31,1532.7,1538.2,6.0,0
Heinz-Peter Überjahn,1988-01-01,1988-05-25,1990-10-14,16,11,1,4,2.12,1.25,0.75,1415.2,1515.8,101.0,0
Otto Pfister,1976-01-01,1976-03-13,1978-11-11,14,4,3,7,1.07,1.29,1.64,1374.5,1405.3,31.0,0
others,,2005-02-09,2026-06-09,26,5,7,14,0.85,1.0,1.54,1485.6,1651.6,166.0,1
