year,elo
1960,1491.5
1961,1509.0
1963,1462.1
1967,1414.6
1968,1446.5
1970,1442.5
1971,1417.1
1972,1419.2
1973,1367.2
1975,1376.3
1976,1404.5
1977,1383.4
1978,1405.3
1979,1384.5
1981,1375.6
1982,1386.0
1984,1409.6
1986,1383.7
1987,1389.6
1988,1503.3
1990,1515.8
1991,1519.3
1992,1532.7
1993,1555.6
1994,1545.6
1995,1538.2
1996,1487.5
1997,1424.2
1998,1475.0
1999,1527.7
2000,1532.7
2001,1512.7
2002,1508.6
2003,1553.1
2004,1496.4
2005,1514.2
2006,1528.1
2007,1437.2
2008,1531.6
2009,1582.5
2010,1626.6
2011,1634.1
2012,1530.3
2013,1645.0
2014,1636.4
2015,1528.0
2016,1606.7
2017,1699.8
2018,1626.0
2019,1631.1
2020,1656.7
2021,1669.3
2022,1710.1
2023,1674.5
2024,1611.0
2025,1698.9
2026,1651.6
