player_a,name_a,pos_a,player_b,name_b,pos_b,pair_type,matches,minutes,gf,ga,gd,gd90,gated
edmond-tapsoba,Edmond Tapsoba,DF,issa-kabore,Issa Kaboré,DF,DF-DF,24,2281,34,23,11,0.43,1
blati-toure,Blati Touré,MF,edmond-tapsoba,Edmond Tapsoba,DF,DF-MF,26,2243,39,23,16,0.64,1
edmond-tapsoba,Edmond Tapsoba,DF,issoufou-dayo,Issoufou Dayo,DF,DF-DF,23,2162,33,22,11,0.46,1
edmond-tapsoba,Edmond Tapsoba,DF,steeve-yago,Steeve Yago,DF,DF-DF,24,2114,26,26,0,0.0,1
edmond-tapsoba,Edmond Tapsoba,DF,herve-koffi,Hervé Koffi,GK,GK-DF,22,2045,29,18,11,0.48,1
herve-koffi,Hervé Koffi,GK,issa-kabore,Issa Kaboré,DF,GK-DF,22,1978,27,18,9,0.41,1
dango-ouattara,Dango Ouattara,FW,edmond-tapsoba,Edmond Tapsoba,DF,DF-FW,25,1941,30,21,9,0.42,1
blati-toure,Blati Touré,MF,issa-kabore,Issa Kaboré,DF,DF-MF,22,1931,31,19,12,0.56,1
blati-toure,Blati Touré,MF,issoufou-dayo,Issoufou Dayo,DF,DF-MF,22,1897,32,19,13,0.62,1
issa-kabore,Issa Kaboré,DF,issoufou-dayo,Issoufou Dayo,DF,DF-DF,21,1887,30,17,13,0.62,1
herve-koffi,Hervé Koffi,GK,issoufou-dayo,Issoufou Dayo,DF,GK-DF,20,1799,26,15,11,0.55,1
blati-toure,Blati Touré,MF,steeve-yago,Steeve Yago,DF,DF-MF,23,1718,23,20,3,0.16,1
herve-koffi,Hervé Koffi,GK,steeve-yago,Steeve Yago,DF,GK-DF,20,1674,22,15,7,0.38,1
issa-kabore,Issa Kaboré,DF,steeve-yago,Steeve Yago,DF,DF-DF,18,1671,22,18,4,0.22,1
issoufou-dayo,Issoufou Dayo,DF,steeve-yago,Steeve Yago,DF,DF-DF,21,1670,20,21,-1,-0.05,1
blati-toure,Blati Touré,MF,herve-koffi,Hervé Koffi,GK,GK-MF,20,1612,25,12,13,0.73,1
dango-ouattara,Dango Ouattara,FW,herve-koffi,Hervé Koffi,GK,GK-FW,18,1535,23,12,11,0.64,1
dango-ouattara,Dango Ouattara,FW,issoufou-dayo,Issoufou Dayo,DF,DF-FW,19,1520,27,13,14,0.83,1
bertrand-traore,Bertrand Traoré,FW,edmond-tapsoba,Edmond Tapsoba,DF,DF-FW,21,1480,23,18,5,0.3,1
blati-toure,Blati Touré,MF,dango-ouattara,Dango Ouattara,FW,MF-FW,21,1466,28,11,17,1.04,1
edmond-tapsoba,Edmond Tapsoba,DF,gustavo-sangare,Gustavo Sangaré,MF,DF-MF,19,1465,18,20,-2,-0.12,1
bertrand-traore,Bertrand Traoré,FW,issoufou-dayo,Issoufou Dayo,DF,DF-FW,20,1426,22,16,6,0.38,1
blati-toure,Blati Touré,MF,gustavo-sangare,Gustavo Sangaré,MF,MF-MF,18,1408,20,18,2,0.13,1
bertrand-traore,Bertrand Traoré,FW,blati-toure,Blati Touré,MF,MF-FW,21,1400,24,18,6,0.39,1
gustavo-sangare,Gustavo Sangaré,MF,issa-kabore,Issa Kaboré,DF,DF-MF,16,1395,17,17,0,0.0,1
dango-ouattara,Dango Ouattara,FW,steeve-yago,Steeve Yago,DF,DF-FW,20,1382,19,14,5,0.33,1
dango-ouattara,Dango Ouattara,FW,issa-kabore,Issa Kaboré,DF,DF-FW,19,1366,26,10,16,1.05,1
bertrand-traore,Bertrand Traoré,FW,issa-kabore,Issa Kaboré,DF,DF-FW,20,1345,22,18,4,0.27,1
bertrand-traore,Bertrand Traoré,FW,steeve-yago,Steeve Yago,DF,DF-FW,19,1311,24,15,9,0.62,1
bertrand-traore,Bertrand Traoré,FW,herve-koffi,Hervé Koffi,GK,GK-FW,19,1265,18,12,6,0.43,1
gustavo-sangare,Gustavo Sangaré,MF,herve-koffi,Hervé Koffi,GK,GK-MF,16,1262,13,10,3,0.21,1
bertrand-traore,Bertrand Traoré,FW,dango-ouattara,Dango Ouattara,FW,FW-FW,18,1205,18,7,11,0.82,1
gustavo-sangare,Gustavo Sangaré,MF,issoufou-dayo,Issoufou Dayo,DF,DF-MF,16,1202,12,15,-3,-0.22,1
gustavo-sangare,Gustavo Sangaré,MF,steeve-yago,Steeve Yago,DF,DF-MF,17,1151,15,16,-1,-0.08,1
cedric-badolo,Cedric Badolo,MF,edmond-tapsoba,Edmond Tapsoba,DF,DF-MF,18,1128,19,12,7,0.56,1
edmond-tapsoba,Edmond Tapsoba,DF,hassane-bande,Hassane Bandé,FW,DF-FW,18,1100,13,8,5,0.41,1
bertrand-traore,Bertrand Traoré,FW,gustavo-sangare,Gustavo Sangaré,MF,MF-FW,14,1029,13,15,-2,-0.17,1
