player_id,name,pos,tier,window_start,window_matches,team_min_window,squad_matches,starts,start_share,on_min,minutes_share,off_min,on_gd90,off_gd90,onoff_diff,gate_onoff,starts_ppg,nonstart_ppg,ppg_diff,gate_ppg,goals,assists,pens,ga90,gate_ga90,rating_avg,rated_apps,rated_min,gate_rating,pct_minutes_share,pct_onoff,pct_ppg,pct_ga90,pct_rating
edmond-tapsoba,Edmond Tapsoba,DF,rotation,2022-01-09,58,5656,45,33,0.73,3232,0.571,1157,0.31,0.08,0.23,1,1.61,1.75,-0.14,1,3,1,1,0.11,1,7.0,25,2282,1,100,69,54,46,70
arthur-zagre,Arthur Zagré,DF,,2026-06-05,2,191,2,1,0.5,96,0.503,95,,,,0,,,,0,0,0,0,,0,,1,90,0,,,,,
issa-kabore,Issa Kaboré,DF,rotation,2022-01-09,58,5656,38,28,0.74,2736,0.484,998,0.46,0.18,0.28,1,1.71,2.4,-0.69,1,0,6,0,0.2,1,7.08,22,1932,1,99,75,15,64,85
issoufou-dayo,Issoufou Dayo,DF,rotation,2022-01-09,58,5656,37,28,0.76,2647,0.468,951,0.41,0.19,0.22,1,1.68,1.78,-0.1,1,2,0,0,0.07,1,6.8,21,1859,1,98,62,62,29,35
herve-koffi,Hervé Koffi,GK,rotation,2022-01-09,58,5656,34,27,0.79,2536,0.448,780,0.5,0.12,0.38,1,,,,0,0,0,0,0.0,1,6.97,19,1641,1,97,88,,11,65
steeve-yago,Steeve Yago,DF,rotation,2022-01-09,58,5656,38,26,0.68,2512,0.444,1219,0.07,0.59,-0.52,1,1.35,1.83,-0.48,1,1,0,0,0.04,1,6.85,21,1667,1,96,6,23,25,48
blati-toure,Blati Touré,MF,rotation,2022-01-09,58,5656,40,25,0.62,2470,0.437,1438,0.58,0.44,0.14,1,1.84,1.6,0.24,1,2,2,0,0.15,1,6.73,20,1782,1,96,50,92,57,28
dango-ouattara,Dango Ouattara,FW,rotation,2022-01-09,58,5656,36,24,0.67,2247,0.397,1235,0.56,0.44,0.12,1,1.75,1.75,0.0,1,11,6,1,0.68,1,7.25,18,1258,1,95,44,77,96,100
bertrand-traore,Bertrand Traoré,FW,rotation,2022-01-09,58,5656,32,18,0.56,1771,0.313,1385,0.46,0.26,0.2,1,1.33,2.21,-0.88,1,8,5,6,0.66,1,7.01,17,1145,1,94,56,0,93,74
gustavo-sangare,Gustavo Sangaré,MF,rotation,2022-01-09,58,5656,35,20,0.57,1716,0.303,1717,-0.16,-0.05,-0.1,1,1.25,1.6,-0.35,1,1,1,0,0.1,1,7.02,19,1458,1,93,25,31,43,78
