year,pld,w,d,l,gf,ga,win_pct
1960,2,1,0,1,6,10,50.0
1961,2,1,0,1,6,3,50.0
1963,4,0,1,3,2,8,0.0
1967,8,3,0,5,13,21,37.5
1968,3,2,0,1,6,4,66.7
1970,1,0,1,0,3,3,0.0
1971,3,0,0,3,1,7,0.0
1972,1,0,1,0,3,3,0.0
1973,5,0,0,5,5,19,0.0
1975,2,1,0,1,5,4,50.0
1976,5,1,2,2,5,6,20.0
1977,2,0,0,2,1,5,0.0
1978,7,3,1,3,12,12,42.9
1979,2,0,0,2,5,8,0.0
1981,4,0,1,3,2,11,0.0
1982,6,1,3,2,5,6,16.7
1984,8,3,3,2,10,10,37.5
1986,6,1,1,4,2,7,16.7
1987,10,4,1,5,10,13,40.0
1988,10,8,0,2,14,8,80.0
1990,6,3,1,2,6,4,50.0
1991,8,3,2,3,11,18,37.5
1992,1,1,0,0,3,1,100.0
1993,3,2,1,0,4,1,66.7
1994,6,1,3,2,4,6,16.7
1995,6,0,4,2,7,13,0.0
1996,14,2,6,6,10,19,14.3
1997,10,2,2,6,13,18,20.0
1998,21,7,8,6,27,27,33.3
1999,14,6,4,4,24,22,42.9
2000,14,4,5,5,17,19,28.6
2001,16,4,3,9,15,21,25.0
2002,8,1,4,3,8,11,12.5
2003,11,5,3,3,13,6,45.5
2004,15,4,3,8,16,25,26.7
2005,8,2,1,5,9,12,25.0
2006,6,2,2,2,4,4,33.3
2007,7,0,2,5,5,15,0.0
2008,8,5,1,2,15,9,62.5
2009,8,4,1,3,11,15,50.0
2010,6,3,2,1,9,4,50.0
2011,8,3,3,2,12,8,37.5
2012,13,3,3,7,11,16,23.1
2013,19,9,3,7,24,18,47.4
2014,8,3,4,1,10,6,37.5
2015,14,4,3,7,16,16,28.6
2016,8,4,2,2,7,5,50.0
2017,17,6,8,3,26,21,35.3
2018,7,3,1,3,7,6,42.9
2019,7,3,3,1,5,3,42.9
2020,4,3,1,0,8,2,75.0
2021,11,4,5,2,14,7,36.4
2022,15,8,3,4,22,21,53.3
2023,9,3,4,2,9,7,33.3
2024,15,5,3,7,21,22,33.3
2025,17,12,2,3,33,12,70.6
2026,5,1,2,2,8,9,20.0
