scope,scope_value,side,matches,axis,value,n,coverage_pct
overall,all,bf,33,possession,49.2,33,100.0
overall,all,bf,33,pass_accuracy,79.6,33,100.0
overall,all,bf,33,passes_per_match,370.7,33,100.0
overall,all,bf,33,long_ball_share,15.2,33,100.0
overall,all,bf,33,long_ball_accuracy,48.2,33,100.0
overall,all,bf,33,shots_per_match,12.2,33,100.0
overall,all,bf,33,shots_on_target_share,33.4,33,100.0
overall,all,bf,33,shots_inside_box_share,60.6,33,100.0
overall,all,bf,33,big_chances_per_match,2.4,33,100.0
overall,all,bf,33,crosses_per_match,15.6,33,100.0
overall,all,bf,33,dribbles_per_match,15.9,33,100.0
overall,all,bf,33,dribble_success,51.4,33,100.0
overall,all,bf,33,aerial_win,52.2,33,100.0
overall,all,bf,33,ground_duel_win,49.7,33,100.0
overall,all,bf,33,tackles_per_match,14.8,33,100.0
overall,all,bf,33,interceptions_per_match,8.0,33,100.0
overall,all,bf,33,clearances_per_match,13.9,33,100.0
overall,all,bf,33,corners_per_match,4.8,33,100.0
overall,all,bf,33,fouls_per_match,16.5,33,100.0
overall,all,opp,33,possession,50.8,33,100.0
overall,all,opp,33,pass_accuracy,80.5,33,100.0
overall,all,opp,33,passes_per_match,380.3,33,100.0
overall,all,opp,33,long_ball_share,16.0,33,100.0
overall,all,opp,33,long_ball_accuracy,45.3,33,100.0
overall,all,opp,33,shots_per_match,12.0,33,100.0
overall,all,opp,33,shots_on_target_share,32.8,33,100.0
overall,all,opp,33,shots_inside_box_share,52.0,33,100.0
overall,all,opp,33,big_chances_per_match,1.9,33,100.0
overall,all,opp,33,crosses_per_match,14.4,33,100.0
overall,all,opp,33,dribbles_per_match,13.7,33,100.0
overall,all,opp,33,dribble_success,49.9,33,100.0
overall,all,opp,33,aerial_win,47.8,33,100.0
overall,all,opp,33,ground_duel_win,50.3,33,100.0
overall,all,opp,33,tackles_per_match,15.5,33,100.0
overall,all,opp,33,interceptions_per_match,8.9,33,100.0
overall,all,opp,33,clearances_per_match,19.0,33,100.0
overall,all,opp,33,corners_per_match,4.0,33,100.0
overall,all,opp,33,fouls_per_match,15.2,33,100.0
opp_elo,mid,bf,11,possession,51.0,11,100.0
opp_elo,mid,bf,11,pass_accuracy,80.6,11,100.0
opp_elo,mid,bf,11,passes_per_match,376.8,11,100.0
opp_elo,mid,bf,11,long_ball_share,12.9,11,100.0
opp_elo,mid,bf,11,long_ball_accuracy,50.2,11,100.0
opp_elo,mid,bf,11,shots_per_match,13.4,11,100.0
opp_elo,mid,bf,11,shots_on_target_share,32.0,11,100.0
opp_elo,mid,bf,11,shots_inside_box_share,61.2,11,100.0
opp_elo,mid,bf,11,big_chances_per_match,2.2,11,100.0
opp_elo,mid,bf,11,crosses_per_match,15.8,11,100.0
opp_elo,mid,bf,11,dribbles_per_match,18.8,11,100.0
opp_elo,mid,bf,11,dribble_success,56.0,11,100.0
opp_elo,mid,bf,11,aerial_win,53.8,11,100.0
opp_elo,mid,bf,11,ground_duel_win,49.9,11,100.0
opp_elo,mid,bf,11,tackles_per_match,15.9,11,100.0
opp_elo,mid,bf,11,interceptions_per_match,9.1,11,100.0
opp_elo,mid,bf,11,clearances_per_match,13.8,11,100.0
opp_elo,mid,bf,11,corners_per_match,5.2,11,100.0
opp_elo,mid,bf,11,fouls_per_match,18.5,11,100.0
opp_elo,mid,opp,11,possession,49.0,11,100.0
opp_elo,mid,opp,11,pass_accuracy,78.5,11,100.0
opp_elo,mid,opp,11,passes_per_match,361.0,11,100.0
opp_elo,mid,opp,11,long_ball_share,17.0,11,100.0
opp_elo,mid,opp,11,long_ball_accuracy,43.9,11,100.0
opp_elo,mid,opp,11,shots_per_match,9.2,11,100.0
opp_elo,mid,opp,11,shots_on_target_share,29.7,11,100.0
opp_elo,mid,opp,11,shots_inside_box_share,46.5,11,100.0
opp_elo,mid,opp,11,big_chances_per_match,1.2,11,100.0
opp_elo,mid,opp,11,crosses_per_match,15.2,11,100.0
opp_elo,mid,opp,11,dribbles_per_match,16.9,11,100.0
opp_elo,mid,opp,11,dribble_success,51.6,11,100.0
opp_elo,mid,opp,11,aerial_win,46.2,11,100.0
opp_elo,mid,opp,11,ground_duel_win,50.1,11,100.0
opp_elo,mid,opp,11,tackles_per_match,15.5,11,100.0
opp_elo,mid,opp,11,interceptions_per_match,9.0,11,100.0
opp_elo,mid,opp,11,clearances_per_match,18.8,11,100.0
opp_elo,mid,opp,11,corners_per_match,4.3,11,100.0
opp_elo,mid,opp,11,fouls_per_match,15.3,11,100.0
opp_elo,strong,bf,9,possession,42.2,9,100.0
opp_elo,strong,bf,9,pass_accuracy,78.2,9,100.0
opp_elo,strong,bf,9,passes_per_match,315.4,9,100.0
opp_elo,strong,bf,9,long_ball_share,17.8,9,100.0
opp_elo,strong,bf,9,long_ball_accuracy,44.3,9,100.0
opp_elo,strong,bf,9,shots_per_match,9.8,9,100.0
opp_elo,strong,bf,9,shots_on_target_share,31.8,9,100.0
opp_elo,strong,bf,9,shots_inside_box_share,58.0,9,100.0
opp_elo,strong,bf,9,big_chances_per_match,2.1,9,100.0
