coach,start,end,source,note
Otto Pfister,1976-01-01,1978-12-31,https://en.wikipedia.org/wiki/Burkina_Faso_national_football_team#Coaching_history,year precision; refine dates welcome
Heinz-Peter Überjahn,1988-01-01,1990-12-31,https://en.wikipedia.org/wiki/Burkina_Faso_national_football_team#Coaching_history,year precision; refine dates welcome
Idrissa Traoré,1992-01-01,1996-12-31,https://en.wikipedia.org/wiki/Burkina_Faso_national_football_team#Coaching_history,year precision; refine dates welcome
Calixte Zagre,1996-01-01,1996-12-31,https://en.wikipedia.org/wiki/Burkina_Faso_national_football_team#Coaching_history,year precision; refine dates welcome
Ivan Vutov,1996-01-01,1997-12-31,https://en.wikipedia.org/wiki/Burkina_Faso_national_football_team#Coaching_history,year precision; refine dates welcome
Malik Jabir,1997-01-01,1997-12-31,https://en.wikipedia.org/wiki/Burkina_Faso_national_football_team#Coaching_history,year precision; refine dates welcome
Philippe Troussier,1997-01-01,1998-12-31,https://en.wikipedia.org/wiki/Burkina_Faso_national_football_team#Coaching_history,year precision; refine dates welcome
Didier Notheaux,1998-01-01,1999-12-31,https://en.wikipedia.org/wiki/Burkina_Faso_national_football_team#Coaching_history,year precision; refine dates welcome
René Taelman,2000-01-01,2000-12-31,https://en.wikipedia.org/wiki/Burkina_Faso_national_football_team#Coaching_history,year precision; refine dates welcome
Sidiki Diarra,2000-01-01,2001-12-31,https://en.wikipedia.org/wiki/Burkina_Faso_national_football_team#Coaching_history,year precision; refine dates welcome
Oscar Fulloné,2001-01-01,2002-12-31,https://en.wikipedia.org/wiki/Burkina_Faso_national_football_team#Coaching_history,year precision; refine dates welcome
Jacques Yaméogo & Pihouri Weboanga,2002-01-01,2002-12-31,https://en.wikipedia.org/wiki/Burkina_Faso_national_football_team#Coaching_history,year precision; refine dates welcome
Jean-Paul Rabier,2002-01-01,2004-12-31,https://en.wikipedia.org/wiki/Burkina_Faso_national_football_team#Coaching_history,year precision; refine dates welcome
Ivica Todorov,2004-01-01,2005-12-31,https://en.wikipedia.org/wiki/Burkina_Faso_national_football_team#Coaching_history,year precision; refine dates welcome
Bernard Simondi,2005-01-01,2006-12-31,https://en.wikipedia.org/wiki/Burkina_Faso_national_football_team#Coaching_history,year precision; refine dates welcome
Idrissa Traoré,2006-01-01,2007-12-31,https://en.wikipedia.org/wiki/Burkina_Faso_national_football_team#Coaching_history,year precision; refine dates welcome
Didier Notheaux & Sidiki Diarra,2007-01-01,2007-12-31,https://en.wikipedia.org/wiki/Burkina_Faso_national_football_team#Coaching_history,year precision; refine dates welcome
Paulo Duarte,2008-01-01,2012-12-31,https://en.wikipedia.org/wiki/Burkina_Faso_national_football_team#Coaching_history,year precision; refine dates welcome
Paul Put,2012-01-01,2015-12-31,https://en.wikipedia.org/wiki/Burkina_Faso_national_football_team#Coaching_history,year precision; refine dates welcome
Gernot Rohr,2015-01-01,2015-12-31,https://en.wikipedia.org/wiki/Burkina_Faso_national_football_team#Coaching_history,year precision; refine dates welcome
Paulo Duarte,2015-01-01,2019-12-31,https://en.wikipedia.org/wiki/Burkina_Faso_national_football_team#Coaching_history,year precision; refine dates welcome
Kamou Malo,2019-01-01,2022-12-31,https://en.wikipedia.org/wiki/Burkina_Faso_national_football_team#Coaching_history,year precision; refine dates welcome
Hubert Velud,2022-01-01,2024-12-31,https://en.wikipedia.org/wiki/Burkina_Faso_national_football_team#Coaching_history,year precision; refine dates welcome
Brama Traoré,2024-01-01,2026-01-06,https://en.wikipedia.org/wiki/Burkina_Faso_national_football_team#Coaching_history,end set to the AFCON 2025 exit (6 Jan 2026) so the whole campaign is attributed to the coach who started it
Amir Abdou,2026-01-07,,https://en.wikipedia.org/wiki/Burkina_Faso_national_football_team#Coaching_history,start set after the AFCON 2025 exit; refine to the appointment date when known
