player_id,window_id,window_date,name,pos,dob,caps_at_time,goals_at_time,club_at_time,club_country_at_time,note,source
abdoul-tapsoba,afcon2021,2022-01-09,Abdoul Tapsoba,FW,2001-08-23,7,5,Standard Liège,Belgium (civil),,wikipedia:afcon2021
aboubacar-sawadogo,afcon2021,2022-01-09,Aboubacar Sawadogo,GK,1989-08-10,17,0,Kadiogo,Burkina Faso,,wikipedia:afcon2021
adama-guira,afcon2021,2022-01-09,Adama Guira,MF,1988-04-24,31,0,Racing Rioja,Spain,,wikipedia:afcon2021
bertrand-traore,afcon2021,2022-01-09,Bertrand Traoré,FW,1995-09-06,59,12,Aston Villa,England,,wikipedia:afcon2021
blati-toure,afcon2021,2022-01-09,Blati Touré,MF,1994-08-04,20,0,Eskilstuna,Sweden,,wikipedia:afcon2021
cyrille-bayala,afcon2021,2022-01-09,Cyrille Bayala,FW,1996-05-24,29,3,Ajaccio,France,,wikipedia:afcon2021
dango-ouattara,afcon2021,2022-01-09,Dango Ouattara,FW,2002-02-11,0,0,Lorient,France,,wikipedia:afcon2021
djibril-ouattara,afcon2021,2022-01-09,Djibril Ouattara,FW,1999-09-19,3,0,OC Safi,Morocco,,wikipedia:afcon2021
dramane-nikiema,afcon2021,2022-01-09,Dramane Nikièma,MF,1988-10-17,6,0,Horoya,Guinea,,wikipedia:afcon2021
edmond-tapsoba,afcon2021,2022-01-09,Edmond Tapsoba,DF,1999-02-02,16,0,Bayer Leverkusen,Germany,,wikipedia:afcon2021
eric-traore,afcon2021,2022-01-09,Eric Traoré,FW,1996-05-21,10,1,Pyramids,Egypt,,wikipedia:afcon2021
farid-ouedraogo,afcon2021,2022-01-09,Farid Ouédraogo,GK,1996-12-26,2,0,USFA,Burkina Faso,,wikipedia:afcon2021
gustavo-sangare,afcon2021,2022-01-09,Gustavo Sangaré,MF,1996-11-08,5,0,Quevilly-Rouen,France,,wikipedia:afcon2021
hassane-bande,afcon2021,2022-01-09,Hassane Bandé,FW,1998-10-30,11,0,Istra 1961,Croatia,,wikipedia:afcon2021
hermann-nikiema,afcon2021,2022-01-09,Hermann Nikiema,DF,1988-11-30,5,1,Salitas,Burkina Faso,,wikipedia:afcon2021
herve-koffi,afcon2021,2022-01-09,Hervé Koffi,GK,1996-10-16,36,0,Charleroi,Belgium (civil),,wikipedia:afcon2021
ismahila-ouedraogo,afcon2021,2022-01-09,Ismahila Ouédraogo,MF,1999-11-05,10,0,PAOK,Greece,,wikipedia:afcon2021
issa-kabore,afcon2021,2022-01-09,Issa Kaboré,DF,2001-05-12,15,1,Troyes,France,,wikipedia:afcon2021
issoufou-dayo,afcon2021,2022-01-09,Issoufou Dayo,DF,1991-08-06,53,5,RS Berkane,Morocco,,wikipedia:afcon2021
kilian-nikiema,afcon2021,2022-01-09,Kilian Nikiema,GK,2003-06-22,0,0,ADO Den Haag,Netherlands,,wikipedia:afcon2021
kouame-botue,afcon2021,2022-01-09,Kouamé Botué,FW,2002-08-07,3,0,Ajaccio,France,,wikipedia:afcon2021
mohamed-konate,afcon2021,2022-01-09,Mohamed Konaté,FW,1997-12-12,11,2,Akhmat,Russia,,wikipedia:afcon2021
oula-abass-traore,afcon2021,2022-01-09,Oula Abass Traoré,DF,1995-09-29,7,0,Horoya,Guinea,,wikipedia:afcon2021
patrick-malo,afcon2021,2022-01-09,Patrick Malo,DF,1992-02-18,20,0,Hassania Agadir,Morocco,,wikipedia:afcon2021
saidou-simpore,afcon2021,2022-01-09,Saïdou Simporé,MF,1992-08-31,8,1,Al Ittihad,Egypt,,wikipedia:afcon2021
soumaila-ouattara,afcon2021,2022-01-09,Soumaïla Ouattara,DF,1995-07-04,4,0,Raja CA,Morocco,,wikipedia:afcon2021
steeve-yago,afcon2021,2022-01-09,Steeve Yago,DF,1992-12-16,55,0,Aris Limassol,Cyprus,,wikipedia:afcon2021
zakaria-sanogo,afcon2021,2022-01-09,Zakaria Sanogo,FW,1996-12-11,19,0,Ararat-Armenia,Armenia,,wikipedia:afcon2021
abdoul-guiebre,afcon2023,2024-01-13,Abdoul Guiebre,DF,1997-07-17,11,0,Modena,Italy,,wikipedia:afcon2023
abdoul-tapsoba,afcon2023,2024-01-13,Abdoul Tapsoba,FW,2001-08-23,23,5,Amiens,France,,wikipedia:afcon2023
adama-guira,afcon2023,2024-01-13,Adama Guira,MF,1988-04-24,47,0,Racing Rioja,Spain,,wikipedia:afcon2023
adamo-nagalo,afcon2023,2024-01-13,Adamo Nagalo,DF,2002-09-22,8,0,Nordsjælland,Denmark,,wikipedia:afcon2023
bertrand-traore,afcon2023,2024-01-13,Bertrand Traoré,FW,1995-09-06,73,16,Aston Villa,England,,wikipedia:afcon2023
blati-toure,afcon2023,2024-01-13,Blati Touré,MF,1994-08-04,42,2,Pyramids,Egypt,,wikipedia:afcon2023
cedric-badolo,afcon2023,2024-01-13,Cedric Badolo,FW,1998-11-04,12,0,Sheriff Tiraspol,Moldova,,wikipedia:afcon2023
dango-ouattara,afcon2023,2024-01-13,Dango Ouattara,FW,2002-02-11,18,7,Bournemouth,England,,wikipedia:afcon2023
djibril-ouattara,afcon2023,2024-01-13,Djibril Ouattara,FW,1999-09-19,11,1,RS Berkane,Morocco,,wikipedia:afcon2023
dramane-salou,afcon2023,2024-01-13,Dramane Salou,MF,1998-05-22,6,0,Urartu,Armenia,,wikipedia:afcon2023
edmond-tapsoba,afcon2023,2024-01-13,Edmond Tapsoba,DF,1999-02-02,37,1,Bayer Leverkusen,Germany,,wikipedia:afcon2023
gustavo-sangare,afcon2023,2024-01-13,Gustavo Sangaré,MF,1996-11-08,29,1,Quevilly-Rouen,France,,wikipedia:afcon2023
hassane-bande,afcon2023,2024-01-13,Hassane Bandé,FW,1998-10-30,24,2,HJK,Finland,,wikipedia:afcon2023
herve-koffi,afcon2023,2024-01-13,Hervé Koffi,GK,1996-10-16,52,0,Charleroi,Belgium (civil),,wikipedia:afcon2023
hillel-konate,afcon2023,2024-01-13,Hillel Konaté,GK,1994-12-28,2,0,Châteauroux,France,,wikipedia:afcon2023
ismahila-ouedraogo,afcon2023,2024-01-13,Ismahila Ouédraogo,MF,1999-11-05,20,0,Panserraikos,Greece,,wikipedia:afcon2023
