player_id,sofa_id,tournament,season_year,apps,starts,minutes,rating,prev_tournament,prev_season_year,prev_apps,prev_starts,prev_minutes,prev_rating,as_of
abdoul-ayinde,2399613,Pro League,26/27,2,0,2,,Pro League,25/26,2,0,13,6.7,2026-09-22
abdoul-tapsoba,1000129,Ekstraklasa,26/27,8,4,418,6.47,Ekstraklasa,25/26,31,12,1219,6.68,2026-09-22
abdoul-yoda,1065760,Moldovan Super Liga,25/26,30,24,2259,6.75,Moldovan Super Liga,24/25,8,8,704,7.04,2026-09-22
aboubacar-bassinga,1636036,LaLiga,24/25,1,0,11,6.4,,,,,,,2026-09-22
adamo-nagalo,1108094,Trendyol Süper Lig,25/26,8,6,606,7.1,Eerste Divisie,24/25,3,3,149,6.67,2026-09-22
arsene-kouassi,1855502,Ligue 1,26/27,5,5,450,6.76,Ligue 1,25/26,31,30,2612,6.92,2026-09-22
arthur-zagre,910053,VriendenLoterij Eredivisie,26/27,7,7,584,6.33,VriendenLoterij Eredivisie,25/26,30,27,2386,6.7,2026-09-22
bertrand-traore,218160,Premier League,25/26,12,9,638,6.75,VriendenLoterij Eredivisie,24/25,32,20,1724,7.07,2026-09-22
blati-toure,806244,Premier League,25/26,10,6,628,,Egyptian Premier League,24/25,20,18,1546,6.8,2026-09-22
cedric-badolo,989361,Misli Premier League,26/27,4,4,360,6.82,Misli Premier League,25/26,13,7,694,6.58,2026-09-22
cyriaque-irie,1508537,Bundesliga,26/27,2,0,53,6.55,Bundesliga,25/26,10,3,343,6.66,2026-09-22
dango-ouattara,1106451,Premier League,26/27,5,2,180,6.68,Premier League,25/26,32,25,2279,6.87,2026-09-22
dao-cyrille,2008836,Egyptian Premier League,26/27,5,5,450,6.68,Egyptian Premier League,25/26,15,15,1320,6.96,2026-09-22
dramane-salou,924861,Uzbekistan Super League,2026,8,1,204,6.51,Israeli Premier League,24/25,33,26,2299,6.66,2026-09-22
dylan-ouedraogo,899011,Cyprus League by Stoiximan,25/26,3,1,112,6.8,Cyprus League by Stoiximan,24/25,26,25,2340,6.8,2026-09-22
edmond-tapsoba,883262,Bundesliga,26/27,4,4,360,6.83,Bundesliga,25/26,29,29,2576,7.2,2026-09-22
farid-ouedraogo,1006190,CAF Champions League,25/26,8,8,720,6.84,CAF Champions League,22/23,5,5,450,7.22,2026-09-22
faycal-konate,2058080,FNL,26/27,6,1,155,6.64,Czech First League,25/26,3,0,47,6.6,2026-09-22
georgi-minoungou,1492520,MLS,2026,23,15,1439,6.78,MLS,2025,23,6,749,6.95,2026-09-22
gustavo-sangare,1019038,Armenian Premier League,26/27,2,1,111,7.05,Armenian Premier League,25/26,19,11,1092,7.04,2026-09-22
hassane-bande,886227,Pro League,25/26,7,0,82,6.55,Veikkausliiga,2024,21,17,1526,6.97,2026-09-22
herve-koffi,867299,Pro League,26/27,6,6,540,7.53,Ligue 1,25/26,30,30,2659,7.35,2026-09-22
hillel-konate,580180,Ligue 2,25/26,23,22,2032,6.82,Ligue 3,24/25,26,26,2340,7.04,2026-09-22
ibrahim-bance,973796,South African Premier Division,26/27,3,0,108,6.6,South African Premier Division,25/26,12,10,772,6.7,2026-09-22
ismaelo-ganiou,1408080,Ligue 1,26/27,3,3,259,7.3,Ligue 1,25/26,23,22,2014,7.07,2026-09-22
ismahila-ouedraogo,1099259,Danish Superliga,26/27,7,7,585,6.94,Danish Superliga,25/26,25,25,2077,7.1,2026-09-22
issa-kabore,1006189,Championship,26/27,6,3,317,6.78,Championship,25/26,30,26,2271,6.9,2026-09-22
issoufou-dayo,364758,Stars League,25/26,7,5,520,6.04,,,,,,,2026-08-22
jack-diarra,1542760,CAF Champions League,25/26,8,4,355,6.74,,,,,,,2026-09-22
josue-tiendrebeogo,1897363,Mozzart Bet Superliga,26/27,9,8,641,6.76,Mozzart Bet Superliga,25/26,13,9,868,6.67,2026-09-22
kalifa-nikiema,1102864,CAF Confederations Cup,20/21,2,0,11,6.5,,,,,,,2026-09-22
kilian-nikiema,1149858,VriendenLoterij Eredivisie,26/27,7,7,630,7.7,Eerste Divisie,25/26,36,36,3240,7.0,2026-09-22
lassina-traore,911719,Ukrainian Premier League,26/27,3,2,168,6.4,Ukrainian Premier League,25/26,13,10,919,7.42,2026-09-22
lohann-doucet,1170523,Liga Portugal Betclic,26/27,7,5,388,6.83,Ligue 1,25/26,5,1,127,6.58,2026-09-22
