event_id,date,pos,half,deficit_after,reply_pos,reply_minutes,replied_within_10,result
9786529,2022-01-09,40,1,0,,,0,L
9786529,2022-01-09,48,1,1,,,0,L
9737943,2022-01-17,53,2,0,,,0,D
10054216,2022-01-23,93,2,0,,,0,D
10083102,2022-02-02,76,2,1,88,12,0,L
10083102,2022-02-02,82,2,2,88,6,1,L
10083102,2022-02-02,93,2,2,,,0,L
10083104,2022-02-05,75,2,0,,,0,D
10083104,2022-02-05,89,2,0,,,0,D
10083104,2022-02-05,91,2,0,,,0,D
10151732,2022-03-24,4,1,1,,,0,L
10151732,2022-03-24,23,1,2,,,0,L
10151732,2022-03-24,54,2,3,,,0,L
10151732,2022-03-24,69,2,4,,,0,L
10151732,2022-03-24,75,2,5,,,0,L
10152235,2022-03-29,16,1,1,,,0,L
10152235,2022-03-29,18,1,2,,,0,L
10152235,2022-03-29,75,2,3,,,0,L
10339120,2022-06-07,65,2,1,70,5,1,W
10718435,2022-09-27,93,2,0,,,0,W
10891794,2022-11-19,20,1,0,42,22,0,W
10339159,2023-03-28,26,1,0,,,0,D
10339183,2023-06-18,7,1,1,48,41,0,L
10339183,2023-06-18,70,2,1,,,0,L
10339183,2023-06-18,97,2,2,,,0,L
11612976,2023-09-12,37,1,1,,,0,L
11735406,2023-10-17,68,2,0,,,0,W
11797997,2023-11-17,20,1,1,67,47,0,D
11940049,2024-01-05,45,1,0,,,0,L
11940049,2024-01-05,72,2,1,,,0,L
11961075,2024-01-10,58,2,0,,,0,W
11761889,2024-01-20,55,2,0,75,20,0,D
11761889,2024-01-20,99,2,0,,,0,D
11761902,2024-01-23,36,1,1,,,0,L
11761902,2024-01-23,97,2,2,,,0,L
11940715,2024-01-30,3,1,1,61,58,0,L
11940715,2024-01-30,51,2,2,61,10,1,L
12177417,2024-03-22,35,1,1,37,2,1,L
12177417,2024-03-22,52,2,1,,,0,L
12183516,2024-06-06,3,1,1,56,53,0,L
12183516,2024-06-06,7,1,2,56,49,0,L
12183524,2024-06-10,60,2,0,,,0,D
12183524,2024-06-10,89,2,0,,,0,D
12526616,2024-09-06,16,1,1,99,83,0,D
12526614,2024-09-10,83,2,0,,,0,W
12526613,2024-10-10,4,1,1,33,29,0,W
12526607,2024-11-14,85,2,1,,,0,L
12526738,2024-11-18,28,1,1,,,0,L
12526738,2024-11-18,58,2,2,,,0,L
12526738,2024-11-18,63,2,3,,,0,L
13257543,2024-12-22,17,1,1,,,0,L
13257543,2024-12-22,53,2,2,,,0,L
13299042,2025-01-04,46,1,1,94,48,0,D
12183513,2025-03-21,90,2,0,,,0,W
12183510,2025-03-24,36,1,0,75,39,0,W
13961689,2025-06-02,61,2,1,,,0,L
13961689,2025-06-02,91,2,2,,,0,L
14085001,2025-08-02,48,1,1,,,0,L
14085001,2025-08-02,74,2,2,,,0,L
14085010,2025-08-06,15,1,0,66,51,0,W
14085010,2025-08-06,100,2,0,,,0,W
14085026,2025-08-13,54,1,1,,,0,L
14085032,2025-08-16,7,1,1,25,18,0,L
14085032,2025-08-16,61,2,1,,,0,L
12183405,2025-10-12,84,2,0,96,12,0,W
15032911,2025-11-14,24,1,1,34,10,1,W
15032911,2025-11-14,59,2,0,60,1,1,W
13424942,2025-12-24,88,2,1,98,10,1,W
13424954,2025-12-28,23,1,1,,,0,L
14058095,2026-01-06,20,1,1,,,0,L
14058095,2026-01-06,32,1,2,,,0,L
14058095,2026-01-06,90,2,3,,,0,L
15910597,2026-03-31,97,2,0,,,0,D
16189861,2026-06-05,14,1,1,,,0,L
16189861,2026-06-05,20,1,2,,,0,L
16189861,2026-06-05,76,2,3,,,0,L
16205035,2026-06-09,57,2,1,74,17,0,D
16205035,2026-06-09,68,2,2,74,6,1,D
