rank,team,elo
1,Spain,2321.5
2,Argentina,2248.5
3,England,2194.6
4,France,2136.6
5,Colombia,2085.0
6,Brazil,2074.0
7,Portugal,2049.2
8,Netherlands,2045.6
9,Belgium,2034.5
10,Morocco,2027.2
11,Norway,2011.5
12,Mexico,2010.3
13,Switzerland,2005.3
14,Germany,1990.6
15,Japan,1972.1
16,Ecuador,1962.6
17,Croatia,1941.2
18,Uruguay,1923.1
19,Italy,1919.1
20,Turkey,1917.8
21,Denmark,1916.0
22,Australia,1906.9
23,Paraguay,1899.6
24,Austria,1891.2
25,Iran,1888.1
26,Nigeria,1881.5
27,Senegal,1879.6
28,Egypt,1858.5
29,Algeria,1857.3
30,Ukraine,1844.9
31,Russia,1842.9
32,Ivory Coast,1841.5
33,South Korea,1840.6
34,United States,1840.2
35,Canada,1839.9
36,Venezuela,1822.0
37,Scotland,1812.4
38,DR Congo,1808.4
39,Jersey,1805.3
40,Chile,1803.7
41,Basque Country,1799.1
42,Sweden,1795.2
43,Serbia,1789.5
44,Greece,1787.7
45,Poland,1776.9
46,Hungary,1772.0
47,Peru,1770.8
48,Panama,1769.2
49,Kosovo,1759.9
50,Republic of Ireland,1759.9
51,Northern Cyprus,1754.9
52,Czech Republic,1750.2
53,Costa Rica,1743.8
54,Wales,1740.7
55,Slovenia,1738.5
56,Slovakia,1731.4
57,Uzbekistan,1729.6
58,Cameroon,1723.7
59,Jordan,1720.1
60,Bolivia,1715.6
61,Isle of Man,1709.2
62,Mali,1707.9
63,Georgia,1705.5
64,Saudi Arabia,1704.2
65,Honduras,1700.6
66,Cape Verde,1698.0
67,Romania,1696.9
68,South Africa,1693.0
69,Israel,1689.8
70,New Zealand,1687.6
71,Ghana,1680.5
72,Bosnia and Herzegovina,1674.0
73,Albania,1673.9
74,Iraq,1672.4
75,United Arab Emirates,1665.0
76,Northern Ireland,1664.2
77,Padania,1660.5
78,Tunisia,1660.1
79,Haiti,1657.9
80,Jamaica,1652.5
81,Burkina Faso,1651.6
82,North Macedonia,1647.4
83,Guatemala,1641.4
84,Ynys Môn,1639.9
85,Iceland,1636.2
86,Finland,1614.0
87,Syria,1598.8
88,Curaçao,1596.0
89,New Caledonia,1590.1
90,Angola,1588.6
91,Palestine,1587.8
92,Tamil Eelam,1586.5
93,Belarus,1584.1
94,Suriname,1584.1
95,Guinea,1577.8
96,Oman,1573.5
97,China,1552.2
98,Zambia,1549.9
99,Qatar,1542.2
100,Bahrain,1540.6
101,Bulgaria,1540.1
102,Benin,1539.0
103,Gambia,1538.8
104,Zanzibar,1534.5
105,Thailand,1532.7
