date,elo,opponent
1960-04-14,1515.0,Gabon
1960-04-15,1491.5,Madagascar
1961-12-25,1481.0,Ivory Coast
1961-12-27,1509.0,Liberia
1963-02-01,1501.1,Mali
1963-04-12,1468.9,Gabon
1963-04-14,1469.0,Gambia
1963-04-16,1462.1,France
1967-01-29,1469.5,Niger
1967-02-12,1448.5,Algeria
1967-04-09,1435.7,Algeria
1967-08-01,1448.4,Niger
1967-09-27,1423.5,Mali
1967-10-01,1421.3,Ghana
1967-11-15,1399.7,Mali
1967-11-26,1414.6,Ivory Coast
1968-02-25,1430.4,Guinea
1968-03-31,1423.2,Guinea
1968-04-02,1446.5,Guinea
1970-03-22,1442.5,Niger
1971-11-27,1435.0,Nigeria
1971-11-30,1428.7,Togo
1971-12-12,1417.1,Togo
1972-01-09,1419.2,Nigeria
1973-01-08,1406.5,Congo
1973-01-10,1400.4,Guinea
1973-01-12,1393.8,Egypt
1973-04-15,1372.9,DR Congo
1973-04-22,1367.2,DR Congo
1975-02-23,1379.5,Niger
1975-03-23,1376.3,Ghana
1976-03-13,1374.5,Mauritania
1976-03-28,1410.6,Mauritania
1976-09-04,1418.8,Ivory Coast
1976-09-26,1407.3,Ivory Coast
1976-11-24,1404.5,Mali
1977-03-20,1391.5,Ivory Coast
1977-03-27,1383.4,Ivory Coast
1978-02-12,1405.8,Benin
1978-02-19,1409.2,Gabon
1978-02-26,1423.7,Benin
1978-03-05,1411.0,Nigeria
1978-03-08,1393.4,Zambia
1978-03-10,1384.6,Ghana
1978-11-11,1405.3,Mali
1979-10-21,1395.6,Benin
1979-10-23,1384.5,Togo
1981-07-18,1383.3,Nigeria
1981-08-30,1372.9,Algeria
1981-09-06,1365.9,Niger
1981-09-20,1375.6,Algeria
1982-01-24,1379.9,Senegal
1982-02-15,1396.4,Liberia
1982-02-17,1385.2,Togo
1982-02-19,1380.9,Ghana
1982-02-22,1388.6,Ivory Coast
1982-10-03,1386.0,Niger
1984-08-01,1398.9,Benin
1984-08-03,1392.2,Ghana
1984-11-11,1404.7,Mali
1984-11-17,1406.2,Togo
1984-11-20,1409.4,Ivory Coast
1984-11-22,1420.3,Benin
1984-11-24,1428.5,Ghana
1984-11-28,1409.6,Ivory Coast
1986-02-23,1421.3,Liberia
1986-02-24,1411.9,Togo
1986-02-26,1410.1,Niger
1986-02-27,1404.4,Ghana
1986-03-01,1399.0,Ghana
1986-03-02,1383.7,Niger
1987-01-17,1378.2,Mali
1987-02-01,1360.4,Liberia
1987-02-05,1376.5,Benin
1987-05-21,1380.5,Mauritania
1987-11-22,1384.8,Nigeria
1987-12-06,1400.8,Mali
1987-12-10,1391.0,Mali
1987-12-13,1401.8,Mali
1987-12-20,1393.9,Liberia
1987-12-22,1389.6,Senegal
1988-05-25,1415.2,Ghana
1988-06-03,1407.7,Libya
1988-07-03,1452.3,Libya
1988-07-24,1461.2,Niger
1988-07-27,1488.1,Ghana
1988-07-31,1494.8,Benin
1988-08-02,1506.2,Mali
1988-08-04,1514.9,Niger
1988-10-09,1487.3,Gabon
1988-10-23,1503.3,Gabon
1990-05-26,1501.1,Gambia
1990-05-30,1509.0,Ghana
1990-08-19,1519.5,Benin
