event_id,date,minute,added_time,class,is_bf,scorer_sofa_id,scorer_name,scorer_player_id,assist_sofa_id,assist_name,assist_player_id,bf_score_after,opp_score_after
9786529,2022-01-09,24,0,regular,1,1019038,Gustavo Sangaré,gustavo-sangare,218160,Bertrand Traoré,bertrand-traore,1,0
9786529,2022-01-09,40,0,penalty,0,116869,Vincent Aboubakar,,,,,1,1
9786529,2022-01-09,45,3,penalty,0,116869,Vincent Aboubakar,,,,,1,2
9737692,2022-01-13,39,0,regular,1,886227,Hassane Bandé,hassane-bande,1006189,Issa Kaboré,issa-kabore,1,0
9737943,2022-01-17,24,0,regular,1,785876,Cyrille Bayala,cyrille-bayala,139357,Adama Guira,adama-guira,1,0
9737943,2022-01-17,52,0,penalty,0,199538,Getaneh Kebede,,,,,1,1
10054216,2022-01-23,28,0,regular,1,218160,Bertrand Traoré,bertrand-traore,1106451,Dango Ouattara,dango-ouattara,1,0
10054216,2022-01-23,90,1,ownGoal,0,139357,Adama Guira,adama-guira,,,,1,1
10083099,2022-01-29,45,3,regular,1,1106451,Dango Ouattara,dango-ouattara,806244,Ibrahim Blati Tourè,blati-toure,1,0
10083102,2022-02-02,70,0,regular,0,280435,Abdou Diallo,,126071,Kalidou Koulibaly,,0,1
10083102,2022-02-02,76,0,regular,0,1102503,Ahmadou Bamba Dieng,,217704,Sadio Mané,,0,2
10083102,2022-02-02,82,0,regular,1,806244,Ibrahim Blati Tourè,blati-toure,1006189,Issa Kaboré,issa-kabore,1,2
10083102,2022-02-02,87,0,regular,0,217704,Sadio Mané,,845286,Ismaïla Sarr,,1,3
10083104,2022-02-05,24,0,regular,1,174911,Steeve Yago,steeve-yago,1006189,Issa Kaboré,issa-kabore,1,0
10083104,2022-02-05,43,0,ownGoal,1,787498,André Onana,,,,,2,0
10083104,2022-02-05,49,0,regular,1,971036,Djibril Ouattara,djibril-ouattara,218160,Bertrand Traoré,bertrand-traore,3,0
10083104,2022-02-05,71,0,regular,0,153220,Stéphane Bahoken,,,,,3,1
