event_id,period_end,length
9786529,90,5
9737692,90,3
9737692,45,1
9737943,90,3
9737943,45,1
10054216,90,3
10054216,45,2
10083099,90,4
10083099,45,2
10083102,90,3
10083102,45,6
10083104,90,4
10083104,45,4
10151732,90,3
10151732,45,1
10152235,90,3
10339110,90,3
10339110,45,1
10339120,90,3
10339120,45,1
11092139,90,5
11092139,45,1
10339159,90,5
10339159,45,3
10339183,90,5
10339183,45,2
10339208,90,4
10339208,45,2
11612976,90,3
11612976,45,2
11735406,90,5
11735406,45,3
11761878,90,6
11761878,45,4
11761889,90,9
11761889,45,4
11761902,90,8
11761902,45,5
11940715,90,8
11940715,45,4
12526616,90,5
12526616,45,4
12526614,90,5
12526614,45,3
12526613,90,4
12526613,45,2
12526608,90,5
12526608,45,3
12526607,90,4
12526607,45,2
12526738,90,4
12526738,45,1
13961689,90,3
13961689,45,1
14085001,90,7
14085001,45,3
14085010,90,7
14085010,45,5
14085026,90,6
14085026,45,6
14085032,90,7
14085032,45,3
13424942,90,8
13424942,45,3
13424954,90,4
13424954,45,5
13424968,90,4
13424968,45,5
14058095,90,4
14058095,45,3
16189861,90,3
16189861,45,3
16205035,90,4
16205035,45,1
