event_id,date,result,effective_length,has_et,first_goal,min_leading,min_level,min_trailing,trailed,led,gf_1_15,gf_16_30,gf_31_45,gf_46_60,gf_61_75,gf_76_90,gf_et,gf_s45,gf_s90,ga_1_15,ga_16_30,ga_31_45,ga_46_60,ga_61_75,ga_76_90,ga_et,ga_s45,ga_s90
9786529,2022-01-09,L,98,0,bf,16.0,32.0,50.0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
9737692,2022-01-13,W,94,0,bf,55.0,39.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9737943,2022-01-17,D,94,0,bf,29.0,65.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10054216,2022-01-23,D,125,1,bf,65.0,60.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
10083099,2022-01-29,W,97,0,bf,49.0,48.0,0.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10083102,2022-02-02,L,99,0,opp,0.0,76.0,23.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0
10083104,2022-02-05,D,128,1,bf,67.0,61.0,0.0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0
10151732,2022-03-24,L,94,0,opp,0.0,4.0,90.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0
10152235,2022-03-29,L,93,0,opp,0.0,16.0,77.0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
10339110,2022-06-03,W,94,0,bf,35.0,59.0,0.0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10339120,2022-06-07,W,94,0,opp,18.0,71.0,5.0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0
10718435,2022-09-27,W,93,0,bf,32.0,61.0,0.0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1
10891794,2022-11-19,W,94,0,bf,61.0,33.0,0.0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11092139,2023-03-24,W,96,0,bf,8.0,88.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10339159,2023-03-28,D,98,0,bf,14.0,84.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10339183,2023-06-18,L,98,0,opp,0.0,29.0,69.0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1
10339208,2023-09-08,D,96,0,,0.0,96.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11612976,2023-09-12,L,95,0,opp,0.0,37.0,58.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11735406,2023-10-17,W,98,0,bf,77.0,21.0,0.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11797997,2023-11-17,D,96,0,opp,0.0,49.0,47.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
11798005,2023-11-21,W,92,0,bf,23.0,69.0,0.0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
11940049,2024-01-05,L,95,0,bf,29.0,43.0,23.0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
11961075,2024-01-10,W,95,0,bf,59.0,36.0,0.0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11761878,2024-01-16,W,100,0,bf,0.0,100.0,0.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
11761889,2024-01-20,D,103,0,bf,31.0,72.0,0.0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1
11761902,2024-01-23,L,103,0,opp,0.0,36.0,67.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
11940715,2024-01-30,L,102,0,opp,0.0,3.0,99.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
12183516,2024-06-06,L,92,0,opp,0.0,3.0,89.0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
12183524,2024-06-10,D,92,0,bf,48.0,44.0,0.0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
12526616,2024-09-06,D,99,0,opp,0.0,16.0,83.0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
12526614,2024-09-10,W,98,0,bf,63.0,35.0,0.0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12526613,2024-10-10,W,96,0,opp,62.0,5.0,29.0,1,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12526608,2024-10-13,W,98,0,bf,93.0,5.0,0.0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
12526607,2024-11-14,L,96,0,opp,0.0,85.0,11.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12526738,2024-11-18,L,95,0,opp,0.0,28.0,67.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
13315144,2025-01-09,W,95,0,bf,65.0,30.0,0.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12183513,2025-03-21,W,95,0,bf,83.0,12.0,0.0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
12183510,2025-03-24,W,95,0,bf,50.0,45.0,0.0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
13961689,2025-06-02,L,94,0,opp,0.0,61.0,33.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
13975674,2025-06-06,W,95,0,bf,73.0,22.0,0.0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14085001,2025-08-02,L,100,0,opp,0.0,48.0,52.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
14085010,2025-08-06,W,102,0,bf,40.0,62.0,0.0,0,1,1,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,1
14085026,2025-08-13,L,105,0,opp,0.0,54.0,51.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
14085032,2025-08-16,L,100,0,opp,0.0,43.0,57.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
12183532,2025-09-05,W,95,0,bf,79.0,16.0,0.0,0,1,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12183469,2025-09-09,D,95,0,,0.0,95.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12183427,2025-10-08,W,92,0,bf,50.0,42.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12183405,2025-10-12,W,96,0,bf,31.0,65.0,0.0,0,1,0,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0
15032911,2025-11-14,W,93,0,opp,44.0,39.0,10.0,1,1,0,0,2,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
