kind,slug,name,file,licence,author,credit_url,local_path
coach,amir-abdou,Amir Abdou,AMIR_MTN.jpg,CC BY-SA 4.0,Bhmkinder,https://commons.wikimedia.org/wiki/File:AMIR_MTN.jpg,assets/photos/coach-amir-abdou.jpg
coach,bernard-simondi,Bernard Simondi,Simondi_Bernard_(6426679887).jpg,CC BY 2.0,"Doha Stadium Plus Qatar from Doha, Qatar",https://commons.wikimedia.org/wiki/File:Simondi_Bernard_(6426679887).jpg,assets/photos/coach-bernard-simondi.jpg
coach,gernot-rohr,Gernot Rohr,Gernot_Rohr_2018.jpg,CC BY-SA 3.0,Кирилл Венедиктов,https://commons.wikimedia.org/wiki/File:Gernot_Rohr_2018.jpg,assets/photos/coach-gernot-rohr.jpg
coach,hubert-velud,Hubert Velud,Hubert-velud.jpg,CC BY-SA 3.0,Mickael Denet,https://commons.wikimedia.org/wiki/File:Hubert-velud.jpg,assets/photos/coach-hubert-velud.jpg
coach,oscar-fullon,Oscar Fulloné,Oscar_Fulloné.jpg,CC BY-SA 4.0,Badrlhs,https://commons.wikimedia.org/wiki/File:Oscar_Fullon%C3%A9.jpg,assets/photos/coach-oscar-fullon.jpg
coach,otto-pfister,Otto Pfister,Otto_Pfister_2013.jpg,CC BY-SA 2.0,"14. Internationale Sportnacht Davos from Davos, Schweiz",https://commons.wikimedia.org/wiki/File:Otto_Pfister_2013.jpg,assets/photos/coach-otto-pfister.jpg
coach,philippe-troussier,Philippe Troussier,Philippe_Troussier_in_2023.png,CC BY-SA 4.0,Thplam2004,https://commons.wikimedia.org/wiki/File:Philippe_Troussier_in_2023.png,assets/photos/coach-philippe-troussier.jpg
player,abdoul-guiebre,Abdoul Guiebre,Abdoul_Guiebre_(cropped).jpg,CC BY 4.0,Amir Hossein Yeganeh,https://commons.wikimedia.org/wiki/File:Abdoul_Guiebre_(cropped).jpg,assets/photos/player-abdoul-guiebre.jpg
player,abdoul-tapsoba,Abdoul Tapsoba,Tapsoba_Burkina_Faso_(cropped).jpg,CC BY-SA 4.0,Happiraphael,https://commons.wikimedia.org/wiki/File:Tapsoba_Burkina_Faso_(cropped).jpg,assets/photos/player-abdoul-tapsoba.jpg
player,adama-guira,Adama Guira,Guira_Burkina_Faso_(cropped).jpg,CC BY-SA 4.0,Happiraphael,https://commons.wikimedia.org/wiki/File:Guira_Burkina_Faso_(cropped).jpg,assets/photos/player-adama-guira.jpg
player,adamo-nagalo,Adamo Nagalo,Adamo_Nagalo_(cropped).jpg,CC BY 4.0,Amir Hossein Yeganeh,https://commons.wikimedia.org/wiki/File:Adamo_Nagalo_(cropped).jpg,assets/photos/player-adamo-nagalo.jpg
player,arthur-zagre,Arthur Zagré,2019-07-17_SG_Dynamo_Dresden_vs._Paris_Saint-Germain_by_Sandro_Halank–133_(cropped).jpg,CC BY-SA 4.0,"Sandro Halank, Wikimedia Commons",https://commons.wikimedia.org/wiki/File:2019-07-17_SG_Dynamo_Dresden_vs._Paris_Saint-Germain_by_Sandro_Halank%E2%80%93133_(cropped).jpg,assets/photos/player-arthur-zagre.jpg
player,bertrand-traore,Bertrand Traoré,Capitain_du_bourkina_(cropped).jpg,CC BY-SA 4.0,Effathéophile105,https://commons.wikimedia.org/wiki/File:Capitain_du_bourkina_(cropped).jpg,assets/photos/player-bertrand-traore.jpg
player,blati-toure,Blati Touré,Blati_Toure_Burkina_Faso_(cropped).jpg,CC BY-SA 4.0,Happiraphael,https://commons.wikimedia.org/wiki/File:Blati_Toure_Burkina_Faso_(cropped).jpg,assets/photos/player-blati-toure.jpg
player,cedric-badolo,Cedric Badolo,Cedric_Badolo.jpg,CC0,Fcstmani,https://commons.wikimedia.org/wiki/File:Cedric_Badolo.jpg,assets/photos/player-cedric-badolo.jpg
player,cyrille-bayala,Cyrille Bayala,Cyrille_Bayala_-_Entraînement_RC_Lens_-_19_juin_2018_11_(cropped).jpg,CC0,Supporterhéninois,https://commons.wikimedia.org/wiki/File:Cyrille_Bayala_-_Entra%C3%AEnement_RC_Lens_-_19_juin_2018_11_(cropped).jpg,assets/photos/player-cyrille-bayala.jpg
player,dango-ouattara,Dango Ouattara,Dango_Ouattara_29112025_(1).jpg,CC0,Timmy96,https://commons.wikimedia.org/wiki/File:Dango_Ouattara_29112025_(1).jpg,assets/photos/player-dango-ouattara.jpg
player,dramane-salou,Dramane Salou,Dramane_Salou.png,CC BY 3.0,FC Olympic Donetsk,https://commons.wikimedia.org/wiki/File:Dramane_Salou.png,assets/photos/player-dramane-salou.jpg
player,edmond-tapsoba,Edmond Tapsoba,"Edmond_Tapsoba,_2022-07-31,_Saisoneröffnung_Bayer_04,_Leverkusen_(1)_(cropped).jpg",CC BY-SA 4.0,Pyaet,"https://commons.wikimedia.org/wiki/File:Edmond_Tapsoba,_2022-07-31,_Saisoner%C3%B6ffnung_Bayer_04,_Leverkusen_(1)_(cropped).jpg",assets/photos/player-edmond-tapsoba.jpg
