player_id,name,pos,dob,club,club_country,caps,goals,first_window,last_window,n_windows,last_seen,status,club_v,club_country_v,league_v,club_source,contract_until,height,foot,market_value_eur,career_retired,sofa_id,source
abdel-rachid-zagre,Abdel Rachid Zagré,FW,2004-03-09,,,,,,,0,2022-03-29,out,Ravenna,Italy,"Serie C, Girone B",sofascore@2026-08-21,2027-06-30,187,Right,105000,0,1103418,sofascore
abdoul-abass-guiro,Abdoul Abass Guiro,,1994-10-19,,,,,,,0,2025-08-16,fringe,Burkina Faso,Burkina Faso,Africa Cup of Nations,sofascore@2026-08-21,,,,,0,2028657,sofascore
abdoul-ayinde,Abdoul Ayinde,DF,2005-07-17,Gent,Belgium (civil),3,0,afcon2025,recent,2,2026-06-01,active,KAA Gent Reserve U23,Belgium,Challenger Pro League,sofascore@2026-08-21,2027-06-30,183,Left,570000,0,2399613,wikipedia
abdoul-baguian,Abdoul Baguian,FW,1995-08-25,,,,,,,0,2025-08-16,fringe,,,,sofascore@2026-08-21,,,,,0,1099246,sofascore
abdoul-bandaogo,Abdoul Bandaogo,MF,1998-05-31,,,,,,,0,2022-11-19,out,UD Yugo Socuéllamos,Spain,Segunda Federación,sofascore@2026-08-21,,187,Right,24000,0,1089464,sofascore
abdoul-guiebre,Abdoul Guiebre,DF,1997-07-17,Modena,Italy,11,0,afcon2023,afcon2023,1,2024-01-30,out,Ascoli,Italy,Serie B,sofascore@2026-08-21,2028-06-30,178,Left,470000,0,915839,wikipedia
abdoul-kader-ouattara,Abdoul Kader Ouattara,FW,2005-05-26,,,,,,,0,2024-10-13,out,Cercle Brugge,Belgium,Pro League,sofascore@2026-08-21,2028-06-30,171,Right,365000,0,1652684,sofascore
abdoul-tapsoba,Abdoul Tapsoba,FW,2001-08-23,Radomiak Radom,Poland,30,5,afcon2021,current,3,2026-06-09,active,Radomiak Radom,Poland,Ekstraklasa,sofascore@2026-08-21,2027-06-30,177,Right,510000,0,1000129,wikipedia
abdoul-yoda,Abdoul Yoda,MF,2000-12-20,Milsami Orhei,Moldova,3,0,afcon2025,recent,2,2026-06-01,active,,,,sofascore@2026-08-21,,182,Right,280000,0,1065760,wikipedia
abdoulaye-toure,Abdoulaye Toure,FW,1992-04-24,,,,,,,0,2025-08-13,fringe,,,,sofascore@2026-08-21,,,,,0,2025851,sofascore
abdul-meyker-yabre,Abdul Meyker Yabre,MF,1995-04-03,,,,,,,0,2022-06-07,out,,,,sofascore@2026-08-21,,178,Right,48000,0,309324,sofascore
abou-ouattara,Abou Ouattara,MF,1999-12-26,,,,,,,0,2022-03-29,out,Džiugas Telšiai,Lithuania,TOPLYGA,sofascore@2026-08-21,,176,Right,110000,0,920754,sofascore
aboubacar-bassinga,Aboubacar Bassinga,MF,2005-07-13,Ceuta,Spain,2,0,current,current,1,2026-06-09,active,UD Las Palmas,Spain,LaLiga 2,sofascore@2026-08-21,2028-06-30,178,Left,290000,0,1636036,wikipedia
aboubacar-sawadogo,Aboubacar Sawadogo,GK,1989-08-10,Kadiogo,Burkina Faso,17,0,afcon2021,afcon2021,1,2022-06-07,out,Rail Club de Kadiogo,Burkina Faso,FasoFoot Ligue 1,sofascore@2026-08-21,,192,,95000,0,866124,wikipedia
aboubacar-sidiki-traore,Aboubacar Sidiki Traore,MF,1992-12-10,,,,,,,0,2025-01-09,out,CF Mounana,Gabon,National Foot 1,sofascore@2026-08-21,,175,,0,0,785870,sofascore
adama-guira,Adama Guira,MF,1988-04-24,Racing Rioja,Spain,47,0,afcon2021,afcon2023,2,2024-01-20,retired_career,,,,sofascore@2026-08-21,,185,Right,,1,139357,wikipedia
adamo-nagalo,Adamo Nagalo,DF,2002-09-22,Konyaspor,Turkey,22,0,afcon2023,current,3,2026-06-09,active,PSV Eindhoven,Netherlands,VriendenLoterij Eredivisie,sofascore@2026-08-21,2029-06-30,185,Right,2900000,0,1108094,wikipedia
adolphe-belem,Adolphe Belem,FW,1998-11-25,,,,,,,0,2025-01-09,out,,,,sofascore@2026-08-21,,180,Right,26000,0,888297,sofascore
aliou-chitou-adjibade,Aliou Chitou Adjibadé,MF,1996-12-24,,,,,,,0,2025-08-16,fringe,,,,sofascore@2026-08-21,,174,Right,240000,0,1140895,sofascore
alla-franck-alain-kante,Alla Franck Alain Kanté,MF,2001-01-11,,,,,,,0,2025-01-09,out,Burkina Faso,Burkina Faso,Africa Cup of Nations,sofascore@2026-08-21,,179,Left,,0,2026041,sofascore
amadou-kone,Amadou Koné,,,,,,,,,0,2025-01-09,out,Burkina Faso,Burkina Faso,Africa Cup of Nations,sofascore@2026-08-21,,,,,0,2025855,sofascore
arsene-kouassi,Arsène Kouassi,DF,2004-09-11,FC Lorient,France,7,1,afcon2025,current,2,2026-06-09,active,Lorient,France,Ligue 1,sofascore@2026-08-21,2029-06-30,178,Left,16399999,0,1855502,wikipedia
arthur-zagre,Arthur Zagré,DF,2001-10-04,Utrecht,Netherlands,2,0,current,current,1,2026-06-09,active,FC Utrecht,Netherlands,VriendenLoterij Eredivisie,sofascore@2026-08-21,2029-06-30,168,Left,1800000,0,910053,wikipedia
bertrand-traore,Bertrand Traoré,FW,1995-09-06,Unattached,,88,21,afcon2021,recent,4,2026-06-01,active,,,,sofascore@2026-08-21,,180,Left,3800000,0,218160,wikipedia
blati-toure,Blati Touré,MF,1994-08-04,Pyramids,Egypt,60,3,afcon2021,recent,4,2026-06-01,active,Al Ahli Tripoli,Libya,Premier League,sofascore@2026-08-21,,170,Right,680000,0,806244,wikipedia
bryan-dabo,Bryan Dabo,MF,1992-02-18,,,,,,,0,2022-03-24,out,,,,sofascore@2026-08-21,,185,Right,220000,0,116623,sofascore
cedric-badolo,Cedric Badolo,MF,1998-11-04,Spartak Trnava,Slovakia,31,0,afcon2023,recent,3,2026-06-01,active,Sumqayıt FK,Azerbaijan,Misli Premier League,sofascore@2026-08-21,2027-06-30,170,Right,330000,0,989361,wikipedia
cedric-barro,Cédric Barro,MF,2003-01-20,,,,,,,0,2025-08-16,fringe,,,,sofascore@2026-08-21,,,,,0,2200974,sofascore
cheick-guel,Cheick Guel,,,,,,,,,0,2025-01-09,out,,,,sofascore@2026-08-21,,,,,0,2025848,sofascore
cheick-omar-ouedraogo,Cheick Omar Ouedraogo,DF,1996-02-10,,,,,,,0,2023-06-18,out,Stade d'Abidjan,Côte d'Ivoire,Ivory Coast Ligue 1,sofascore@2026-08-21,2027-06-30,180,Left,,0,1382151,sofascore
christophe-ouattara,Christophe Ouattara,DF,2002-12-01,,,,,,,0,2025-08-16,fringe,Rahimo FC,Burkina Faso,FasoFoot Ligue 1,sofascore@2026-08-21,,,,,0,2200977,sofascore
clement-pitroipa,Clement Pitroipa,MF,1998-11-23,,,,,,,0,2025-01-09,out,Maniema Union,DR Congo,Illicocash Ligue 1,sofascore@2026-08-21,,,,,0,1099250,sofascore
clovis-bazemo,Clovis Bazemo,GK,2002-01-10,,,,,,,0,2025-09-09,active,Africa Sports National,Côte d'Ivoire,Ivory Coast Ligue 2,sofascore@2026-08-21,,,,,0,2246745,sofascore
cyriaque-irie,Cyriaque Irié,FW,2005-06-20,SC Freiburg,Germany,9,2,afcon2025,current,2,2026-06-09,active,SC Freiburg,Germany,Bundesliga,sofascore@2026-08-21,,184,Left,8199999,0,1508537,wikipedia
