event_id,date,period,side,opponent,venue,result,gf,ga,big_chances,big_chances_missed,big_chances_scored,clearances,corners,dispossessed,errors_lead_to_shot,final_third_entries,fouled_final_third,fouls,goal_kicks,interceptions,passes,passes_accurate,recoveries,saves,shots,shots_blocked,shots_inside_box,shots_off_target,shots_on_target,shots_outside_box,tackles,throw_ins,touches_opp_box,yellow_cards,duels_won_pct,possession_pct,tackles_won_pct,aerial_duels,crosses,dribbles,final_third_phase,ground_duels,long_balls,aerial_duels_att,crosses_att,dribbles_att,final_third_phase_att,ground_duels_att,long_balls_att
9786529,2022-01-09,1ST,bf,Cameroon,A,L,1,2,2,1,1,8,1,6,,18,0,,4,8,124,99,,0,4,0,2,2,2,2,8,7,,2,40.0,34.0,63.0,2,3,3,,18,7,5,5,7,,45,16
9786529,2022-01-09,1ST,opp,Cameroon,A,L,1,2,2,0,2,4,3,2,,28,4,,2,3,233,207,,0,5,0,2,3,2,3,10,13,,1,60.0,66.0,40.0,3,0,8,,27,16,5,14,14,,45,22
9786529,2022-01-09,2ND,bf,Cameroon,A,L,1,2,0,0,0,4,4,4,,29,2,,5,6,148,117,,2,7,3,2,0,4,5,13,16,,0,49.0,47.0,62.0,5,0,7,,28,10,10,8,12,,57,27
9786529,2022-01-09,2ND,opp,Cameroon,A,L,1,2,0,0,0,9,3,3,,29,1,,1,2,169,132,,4,9,3,6,4,2,3,9,8,,0,51.0,53.0,78.0,5,2,10,,29,15,10,7,20,,57,35
9786529,2022-01-09,ALL,bf,Cameroon,A,L,1,2,2,1,1,12,5,10,,47,2,21,9,14,272,216,,2,11,3,4,2,6,7,21,23,,2,45.0,40.0,62.0,7,3,10,,46,17,15,13,19,,102,43
9786529,2022-01-09,ALL,opp,Cameroon,A,L,1,2,2,0,2,13,6,5,,57,5,15,3,5,402,339,,4,14,3,8,7,4,6,19,21,,1,55.0,60.0,58.0,8,2,18,,56,31,15,21,34,,102,57
9737692,2022-01-13,1ST,bf,Cabo Verde,A,W,1,0,2,1,1,1,3,0,,23,2,,3,7,182,140,,1,5,1,3,0,4,2,4,9,,0,52.0,48.0,50.0,9,2,7,,17,9,19,6,11,,31,20
9737692,2022-01-13,1ST,opp,Cabo Verde,A,W,1,0,1,1,0,9,2,2,,23,3,,2,6,194,152,,3,2,0,1,1,1,1,4,8,,1,48.0,52.0,0.0,10,0,2,,14,27,19,4,4,,31,40
9737692,2022-01-13,2ND,bf,Cabo Verde,A,W,1,0,0,0,0,6,3,1,,24,0,,3,6,176,136,,1,6,3,6,3,0,0,7,16,,1,52.0,41.0,43.0,3,4,7,,24,17,8,6,12,,44,29
9737692,2022-01-13,2ND,opp,Cabo Verde,A,W,1,0,1,1,0,5,2,1,,24,0,,2,7,258,216,,0,5,1,3,3,1,2,6,6,,1,48.0,59.0,67.0,5,2,6,,20,24,8,6,12,,44,37
9737692,2022-01-13,ALL,bf,Cabo Verde,A,W,1,0,2,1,1,7,6,1,,47,2,19,6,13,358,276,,2,11,4,9,3,4,2,11,25,,1,52.0,44.0,45.0,12,6,14,,41,26,27,12,23,,75,49
9737692,2022-01-13,ALL,opp,Cabo Verde,A,W,1,0,2,2,0,14,4,3,,47,3,16,4,13,452,368,,3,7,1,4,4,2,3,10,14,,2,48.0,56.0,40.0,15,2,8,,34,51,27,10,16,,75,77
9737943,2022-01-17,1ST,bf,Ethiopia,H,D,1,1,2,1,1,3,2,2,,30,0,,4,6,205,160,,4,4,0,3,2,2,1,11,14,,0,62.0,41.0,45.0,2,0,8,,22,9,6,8,11,,33,24
