window_id,level,window_date,name,pos,dob,club_at_time,club_country_at_time,senior_player_id,link_quality
u20-2021,U20,2021-02-14,Aboubacar Belem,MF,2002-01-24,Majestic,Burkina Faso,,
u20-2021,U20,2021-02-14,Alassane Zeba,FW,2003-07-24,Academie Football Tenakourou,Burkina Faso,,
u20-2021,U20,2021-02-14,Blakiss Ouattara,MF,2001-12-16,RC Bobo Dioulasso,Burkina Faso,,
u20-2021,U20,2021-02-14,Brahima Dao,DF,2003-04-12,Rahimo,Burkina Faso,,
u20-2021,U20,2021-02-14,Clovis Ouedraogo,MF,2002-07-24,ÉF Ouagadougou,Burkina Faso,,
u20-2021,U20,2021-02-14,Daouda Beleme,FW,2001-01-05,St. Pauli,Germany,,
u20-2021,U20,2021-02-14,Drissa Banao,MF,2001-09-17,KOZAF,Burkina Faso,,
u20-2021,U20,2021-02-14,Eric Chardey,DF,2003-08-06,Majestic,Burkina Faso,,
u20-2021,U20,2021-02-14,Faad Sana [ 8 ],MF,2003-04-15,WAFA,Ghana,,
u20-2021,U20,2021-02-14,Gaoussou Sanou,DF,2001-06-24,Royal,Burkina Faso,,
u20-2021,U20,2021-02-14,Gilbert Bilgo,DF,2001-05-02,US Ouagadougou,Burkina Faso,,
u20-2021,U20,2021-02-14,Ibrahim Bancé,MF,2001-01-15,ASEC Mimosas,Côte d'Ivoire,ibrahim-bance,exact
u20-2021,U20,2021-02-14,Joffrey Bazié,FW,2003-10-27,Salitas,Burkina Faso,joffrey-bazie,exact
u20-2021,U20,2021-02-14,Karamoko Bamba,DF,2003-12-02,RC Bobo Dioulasso,Burkina Faso,,
u20-2021,U20,2021-02-14,Kouamé Botué,FW,2002-08-07,USFA,Burkina Faso,kouame-botue,exact
u20-2021,U20,2021-02-14,Ladji Sanou,GK,2003-04-21,Salitas,Burkina Faso,,
u20-2021,U20,2021-02-14,Mohamed Congo,DF,2003-10-08,Majestic,Burkina Faso,,
u20-2021,U20,2021-02-14,Moubarack Compaore,FW,2002-09-24,Oslo Football Académie de Dakar,Senegal,,
u20-2021,U20,2021-02-14,Moussa Traore,GK,2001-01-02,Rahimo,Burkina Faso,moussa-traore,exact
u20-2021,U20,2021-02-14,Nathanio Kompaoré,FW,2001-06-20,Anderlecht,Belgium (civil),,
u20-2021,U20,2021-02-14,Noufou Zagre,MF,2004-03-09,ASF Bobo Dioulasso,Burkina Faso,,
u20-2021,U20,2021-02-14,Ousmane Diane,MF,2001-02-14,ASFA,Burkina Faso,,
u20-2021,U20,2021-02-14,Pierre Landry Kabore,FW,2001-07-05,Salitas,Burkina Faso,pierre-landry-kabore,exact
u20-2021,U20,2021-02-14,Raouf Memel Dao,MF,2003-09-05,US Ouagadougou,Burkina Faso,raouf-memel-dao,exact
u20-2021,U20,2021-02-14,Roland Sanou,MF,2002-05-10,Royal,Burkina Faso,,
u20-2021,U20,2021-02-14,Sebastien Koula Tou,GK,2004-12-01,Football Broug,France,,
u20-2021,U20,2021-02-14,Sidi Diawara,GK,2001-03-18,AS Douanes,Burkina Faso,,
u20-2021,U20,2021-02-14,Urbain Convolbo,FW,2002-11-02,AS Douanes,Burkina Faso,,
u20-2021,U20,2021-02-14,Yacouba Nasser,DF,2002-11-15,Vitesse,Burkina Faso,,
u20-2021,U20,2021-02-14,Yael Tiendrebeogo,MF,2001-04-25,Gaz Metan Târgu Mureș,Romania,,
u20-2021,U20,2021-02-14,Yashir Moustapha Ouedraogo,DF,2001-12-31,ASFA,Burkina Faso,,
u17-2023,U17,2023-04-29,Abdoulaye Traoré,GK,2006-03-27,Association Nassara FC,Burkina Faso,,
u17-2023,U17,2023-04-29,Aboubacar Camara,FW,2006-09-30,Rahimo,Burkina Faso,,
u17-2023,U17,2023-04-29,Aboubacar Zoromé,MF,2007-08-26,,Burkina Faso,,
u17-2023,U17,2023-04-29,Aly Sory,DF,2006-11-10,Réal du Faso,Burkina Faso,,
u17-2023,U17,2023-04-29,Amine Compaoré,MF,2007-12-31,KOZAF,Burkina Faso,,
u17-2023,U17,2023-04-29,Appolinaire Bougma,FW,2007-01-15,AS ECO,Burkina Faso,,
u17-2023,U17,2023-04-29,Arouna Ouattara,MF,2006-12-27,Vitesse,Burkina Faso,,
u17-2023,U17,2023-04-29,Baldé Bah,MF,2006-01-25,News Stars FC,Burkina Faso,,
u17-2023,U17,2023-04-29,Bougasse Pouabizan,FW,2006-01-07,Salitas,Burkina Faso,,
u17-2023,U17,2023-04-29,Cheick Camara,MF,2006-01-01,Vitesse,Burkina Faso,,
u17-2023,U17,2023-04-29,Drissa Traoré,DF,2006-08-05,Tenakourou,Burkina Faso,,
u17-2023,U17,2023-04-29,Emmanuel Ouédraogo,MF,2007-11-24,Rahimo,Burkina Faso,,
u17-2023,U17,2023-04-29,Erwinn Nikiéma,DF,2006-09-14,Red Star FC,France,,
u17-2023,U17,2023-04-29,Farouz Ouedraogo,FW,2007-12-29,Rahimo,Burkina Faso,,
u17-2023,U17,2023-04-29,Hamzah Traoré,DF,2007-04-07,Rahimo,Burkina Faso,,
u17-2023,U17,2023-04-29,Idrissa Sore,MF,2007-02-26,Réal du Faso,Burkina Faso,,
u17-2023,U17,2023-04-29,Ismaila Sawadogo,GK,2008-11-30,Cheetah FC,Burkina Faso,,
u17-2023,U17,2023-04-29,Jack Diarra,FW,2006-06-16,Salitas,Burkina Faso,jack-diarra,exact
u17-2023,U17,2023-04-29,Junior Traore,DF,2006-02-21,News Stars FC,Burkina Faso,,
u17-2023,U17,2023-04-29,Landry Yaméogo,DF,2006-12-31,Réal du Faso,Burkina Faso,,
u17-2023,U17,2023-04-29,Lassina Traoré,DF,2007-01-10,Rahimo,Burkina Faso,,
u17-2023,U17,2023-04-29,Mohamed Traoré,GK,2006-08-20,Shamuel,Burkina Faso,,
u17-2023,U17,2023-04-29,Nouhoun Bamba,DF,2006-06-02,Tenakourou,Burkina Faso,,
u17-2023,U17,2023-04-29,Ousmane Camara,FW,2006-01-01,Rahimo,Burkina Faso,ousmane-camara,exact
u17-2023,U17,2023-04-29,Souleymane Alio,FW,2006-10-28,New Stars,Burkina Faso,,
u17-2025,U17,2025-03-30,Abdoul Ouédraogo,DF,2009-12-31,USO,Burkina Faso,,
u17-2025,U17,2025-03-30,Abdoulaye Diaby,FW,2008-10-20,AD DUHA,Burkina Faso,,
u17-2025,U17,2025-03-30,Adesina Ramanou,MF,2010-03-09,New Stars,Burkina Faso,,
u17-2025,U17,2025-03-30,Adriana Dambre,DF,2010-11-12,Al-Sadd,Qatar,,
u17-2025,U17,2025-03-30,Alassana Bagayogo,FW,2008-12-24,AJEB,Burkina Faso,,
u17-2025,U17,2025-03-30,Alassane Traoré,GK,2010-06-26,Rahimo,Burkina Faso,,
u17-2025,U17,2025-03-30,Ali Koné,DF,2009-04-28,New Stars,Burkina Faso,,
u17-2025,U17,2025-03-30,Asharaf Tapsoba,FW,2010-03-30,Réal du Faso,Burkina Faso,,
u17-2025,U17,2025-03-30,Assifou Koné,MF,2009-12-31,Sporting,Burkina Faso,,
u17-2025,U17,2025-03-30,Bilhack Konaté,MF,2010-08-12,Basga JO,Burkina Faso,,
u17-2025,U17,2025-03-30,Comi Ouattara,DF,2010-10-19,Rahimo,Burkina Faso,,
u17-2025,U17,2025-03-30,Fadil Barro,DF,2008-04-02,Vitesse,Burkina Faso,,
u17-2025,U17,2025-03-30,Gustavo Yaro,MF,2008-06-04,AD DUHA,Burkina Faso,,
u17-2025,U17,2025-03-30,Halidou Diakité,MF,2009-06-19,Champi,Burkina Faso,,
u17-2025,U17,2025-03-30,Issouf Bara,FW,2009-04-08,Rahimo,Burkina Faso,,
u17-2025,U17,2025-03-30,Issouf Dabo,DF,2009-05-26,New Stars,Burkina Faso,,
u17-2025,U17,2025-03-30,Kassoum Nana,MF,2008-11-04,Basga JO,Burkina Faso,,
u17-2025,U17,2025-03-30,Mikael Coulibaly,DF,2008-10-30,Réal du Faso,Burkina Faso,,
u17-2025,U17,2025-03-30,Mohamed Fofana,MF,2008-05-19,New Stars,Burkina Faso,,
u17-2025,U17,2025-03-30,Mohamed Sako,MF,2009-01-14,Basga JO,Burkina Faso,,
u17-2025,U17,2025-03-30,Oumar Sanogo,DF,2009-04-07,Rahimo,Burkina Faso,,
u17-2025,U17,2025-03-30,Prince Ouédraogo,GK,2009-12-31,Réal du Faso,Burkina Faso,,
u17-2025,U17,2025-03-30,Soungalo Konaté,GK,2008-08-10,Majestic,Burkina Faso,,
